complaint,department,category,priority
"Large potholes near Hanuman temple causing accidents","Road","Road Damage","High"
"Road surface damaged near school","Road","Road Damage","High"
"Huge pits on road causing traffic","Road","Road Damage","High"
"Road broken after heavy rains","Road","Road Damage","High"
"Vehicles getting damaged due to bad road","Road","Road Damage","High"
"Massive craters on the main highway making driving impossible","Road","Road Damage","High"
"The asphalt has completely peeled off near the junction","Road","Road Damage","Medium"
"Deep fissures running down the middle of the street","Road","Road Damage","High"
"Uneven road surface causing two-wheelers to skid and slip","Road","Road Damage","High"
"Potholes filled with rainwater are hidden traps for motorists","Road","Road Damage","High"
"Entire stretch of link road is unpaved and full of loose gravel","Road","Road Damage","Medium"
"Tar has melted and cracked badly under the heat wave","Road","Road Damage","Low"
"Road side edges are broken making it dangerous to pull over","Road","Road Damage","Medium"
"Concrete road is chipping away leaving sharp stones everywhere","Road","Road Damage","Medium"
"Massive dip in the middle of the road acting like an accidental speed bump","Road","Road Damage","Medium"
"Craters on the flyover bridge are extremely risky at night","Road","Road Damage","High"
"The cobblestone pathway near heritage site is completely uneven and loose","Road","Road Damage","Low"
"Road caved in near the metro construction site","Road","Road Caving","High"
"A massive sinkhole has formed overnight on the service lane","Road","Road Caving","High"
"The ground beneath the tar is sinking near the canal bank","Road","Road Caving","High"
"Subway road surface is collapsing from underneath","Road","Road Caving","High"
"Section of the street is slowly sinking into the ground","Road","Road Caving","Medium"
"Speed breaker is too high and lacks any paint markers","Road","Speed Breaker Issue","Medium"
"Illegal speed bumps built by locals are causing accidents","Road","Speed Breaker Issue","Medium"
"Unmarked speed breaker near the hospital breaks car suspensions","Road","Speed Breaker Issue","High"
"Sharp speed bump installed without warning signs","Road","Speed Breaker Issue","Medium"
"Footpath is entirely broken and pedestrians have to walk on busy road","Road","Footpath Damage","Medium"
"Pavement slabs are missing or cracked near the shopping complex","Road","Footpath Damage","Low"
"Encroachments on footpath forcing people onto the active traffic lane","Road","Footpath Damage","Medium"
"Walking track is damaged with iron rods sticking out","Road","Footpath Damage","High"
"Gravel spreading from unpaved shoulders causing bikes to slip","Road","Road Damage","High"
"Deep ruts formed by heavy trucks making steering difficult","Road","Road Damage","Medium"
"The bypass road has cracked open into huge segments","Road","Road Damage","High"
"The highway exit is completely worn down with exposed stone foundation","Road","Road Damage","High"
"Waterlogging has softened the road base causing massive dips","Road","Road Damage","High"
"Street surface is uneven after patchwork done by internet line workers","Road","Road Damage","Medium"
"Freshly laid road washed away in the first monsoon storm","Road","Road Damage","High"
"Potholes near the railway crossing causing extreme traffic bottlenecks","Road","Road Damage","High"
"The brick road in the old market sector is falling apart","Road","Road Damage","Low"
"Slippery mud layer left on road after construction trucks passed by","Road","Road Damage","Medium"
"Deep trench dug for cables left open on the edge of the street","Road","Road Hazard","High"
"Loose tar chunks flying off tires hitting other vehicles","Road","Road Damage","Medium"
"Large crater right at the turning point of the main avenue","Road","Road Damage","High"
